model,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,overfit_gap
LightGBM (Optuna+CV),9.747588565232428,11.535142527798957,12.38454829480513,14.65167047137484,0.6788050553307802,0.5613871501395219,0.117
CatBoost (Optuna+CV),9.950066920023543,11.57673699522988,12.650813376566788,14.686350757540238,0.6648453437560861,0.5593083125703152,0.106
XGBoost (Optuna+CV),9.629110302765545,11.552098688148424,12.2419374803675,14.68921009749293,0.6861597265207156,0.5591366960761941,0.127
LightGBM (default),10.497482508550753,11.555291774147657,13.316376612937376,14.693995279863653,0.6286525057091826,0.5588494165136939,0.07
CatBoost (default),10.272021052347384,11.606824697602564,13.058955916262901,14.70650898379725,0.6428708741589744,0.5580977110257388,0.085
XGBoost (default),8.850340173145591,11.629471049238827,11.247350708910695,14.783242549066712,0.7350836067129537,0.5534742887973442,0.182
RandomForest (tuned),5.263568271523884,11.740450222862997,6.831566816875935,14.851299257421383,0.902265251479373,0.5493535392189567,0.353
RandomForest (default),4.224371381411885,11.85452791694877,5.413350161148038,14.978806643096044,0.9386321936120042,0.5415821760902635,0.397
