model,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2
Ridge (alpha=10),11.870052716019922,12.179458565016388,15.087698416521182,15.37467535986582,0.5232899057732736,0.5170313128153845
LinearRegression,11.86947455705167,12.18249175083146,15.087551227783333,15.37898399525629,0.5232992068625314,0.516760578310416
Lasso (alpha=1),12.215166011032315,12.226390915738003,15.427891418487643,15.498546706440548,0.5015501078172977,0.5092175561666482
DummyRegressor (Mean),17.438896962509208,17.684309379448248,21.852232894301352,22.159079920588308,0.0,-0.0032531076782740254
